NETWORK_STRUCTURE,POPULATION_SIZE,MAX_GENERATIONS,REPLICATION_RATE,MUTATION_RATE,LEARNING_RATE,TOURNAMENT_SIZE,BEST_SCORE
16 32 16 1,150,50,0.25,0.7,0.01,75,0.9776041666666666
16 32 16 1,150,50,0.25,0.7,0.05,75,0.9661805555555556
16 32 16 1,150,50,0.25,0.7,0.1,75,0.920798611111111
16 32 16 1,150,50,0.25,0.7,0.15,75,0.8783680555555555
