NETWORK_STRUCTURE,POPULATION_SIZE,MAX_GENERATIONS,REPLICATION_RATE,MUTATION_RATE,LEARNING_RATE,TOURNAMENT_SIZE,BEST_SCORE
16 32 16 1,150,50,0.05,0.7,0.1,50,0.9135416666666667
16 32 16 1,150,50,0.1,0.7,0.1,50,0.8995486111111111
16 32 16 1,150,50,0.15,0.7,0.1,50,0.8952777777777777
16 32 16 1,150,50,0.2,0.7,0.1,50,0.9019444444444444
16 32 16 1,150,50,0.25,0.7,0.1,50,0.9223958333333333
16 32 16 1,150,50,0.3,0.7,0.1,50,0.9230902777777777
16 32 16 1,150,50,0.4,0.7,0.1,50,0.9064236111111111
16 32 16 1,150,50,0.5,0.7,0.1,50,0.8976041666666666
