NETWORK_STRUCTURE,POPULATION_SIZE,MAX_GENERATIONS,REPLICATION_RATE,MUTATION_RATE,LEARNING_RATE,TOURNAMENT_SIZE,BEST_SCORE
16 32 16 1,150,50,0.25,0.7,0.05,75,0.9443402777777777
16 32 16 1,150,50,0.25,0.7,0.1,75,0.8880208333333334
16 32 16 1,150,50,0.25,0.7,0.15,75,0.8757291666666667
16 32 16 1,150,50,0.25,0.7,0.2,75,0.8604166666666666
16 32 16 1,150,50,0.25,0.7,0.25,75,0.8364236111111112
16 32 16 1,150,50,0.25,0.7,0.3,75,0.8627083333333333
16 32 16 1,150,50,0.25,0.7,0.4,75,0.7663541666666667
16 32 16 1,150,50,0.25,0.7,0.5,75,0.7886805555555556
