NETWORK_STRUCTURE,POPULATION_SIZE,MAX_GENERATIONS,REPLICATION_RATE,MUTATION_RATE,LEARNING_RATE,TOURNAMENT_SIZE,BEST_SCORE
16 32 16 1,150,50,0.05,0.7,0.1,75,0.9110416666666667
16 32 16 1,150,50,0.1,0.7,0.1,75,0.9289583333333333
16 32 16 1,150,50,0.15,0.7,0.1,75,0.8948611111111111
16 32 16 1,150,50,0.2,0.7,0.1,75,0.9085069444444445
16 32 16 1,150,50,0.25,0.7,0.1,75,0.9345833333333333
16 32 16 1,150,50,0.3,0.7,0.1,75,0.8965625
16 32 16 1,150,50,0.4,0.7,0.1,75,0.9323263888888889
16 32 16 1,150,50,0.5,0.7,0.1,75,0.9054166666666666
